Comment,Designator,Footprint,LCSC Part Number,MPN,MFG
"100n","C18,C16,C14,C11,C8,C15,C13,C12,C17",0402,C100072,"CL05A104KA5NNNC","Samsung Electro-Mechanics"
"1k","R1,R6",0402,C105637,"RC0402JR-071KL","YAGEO"
"3.3u","L1","L_pol_2016",C42411119,"AOTA-B201610S3R3-101-T",""
"10uF 10V","C1,C2",0805,C32635,"",""
"33","R5,R9",0402,C25105,"0402WGF330JTCE","UNI-ROYAL(Uniroyal Elec)"
"RP2350_60QFN","U1","RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias",C41378174,"RP2354A",""
"27","R8,R7",0402,C25100,"0402WGF270JTCE","UNI-ROYAL(Uniroyal Elec)"
"4.7u 10V","C5,C6,C3,C4","C_0402_1005Metric_small_pads",C368809,"CL05A475KP5NRNC","Samsung Electro-Mechanics"
"5.1K 1%","R10,R2,R4,R3",0402,C105872,"RC0402FR-075K1L","YAGEO"
"HT7533-1","U2","SOT-89-3",C14289,"HT7533-1","Holtek Semicon"
"JTAG","J4","CONN-TH_6P-P2.54_69168-X06",C5410110,"TST-103-01-L-D",""
"USB_C_Receptacle_USB2.0","J1","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",C2988369,"GT-USB-7010ASV","G-Switch"
"SW_Push","SW1,SW2","SW-SMD_4P-L2.5-W1.6-LS2.9_STI-055A12AX",C41398745,"GT-TC194A-H0055-L1",""
"WPM2093-3/TR","Q2","SOT-723_L1.2-W0.8-P0.80-LS1.2-BR",C2931332,"WPM2093-3/TR","WILLSEMI(Will Semicon)"
"RED","LED1","LED_0603_1608Metric",C965799,"XL-1608SURC-06","XINGLIGHT"
"12MHz","Y1","OSC-SMD_4P-L2.0-W1.6-BL_8NE",C54307921,"YE12MUBCE2O",""
"USBLC6-2P6","U3","SOT-666",C15999,"USBLC6-2P6","STMicroelectronics"
